식품명,식품대분류명,대표식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),식이섬유(g),나트륨(mg),콜레스테롤(mg)
갈비구이_돼지고기,구이류,갈비구이,100g,294,19.58,21.39,5.78,5.7,0,389,59.95
갈치구이_기름,구이류,갈치구이,100g,209,22.12,13.04,0.83,0,0,395,79.12
국수_막국수,면 및 만두류,국수,100g,57,2,0.58,10.98,0.94,1.5,326,4.32
고등어구이,구이류,고등어구이,100ml,202,13.37,13.22,6.25,0,0.1,196,37.23
곱창구이_소고기,구이류,곱창구이,100g,184,14.89,11.73,4.71,1.11,2.1,1315,196.11
냉면_물냉면,면 및 만두류,냉면,100g,66,1.99,0.63,13.12,2.52,0,347,9.1
닭볶음(닭갈비),볶음류,닭볶음(닭갈비),100g,186,13.98,10.96,7.93,0.77,1.3,338,49.32
더덕구이,구이류,더덕구이,100g,184,3.1,5.2,31.1,11.6,6.8,743,0.12
떡갈비,구이류,떡갈비,100g,202,21.38,11.82,2.46,0.4,1.1,404,68.04
소불고기,구이류,소불고기,100ml,289,13.4,22.87,4.8,3.57,0.4,242,64.54
삼겹살구이,구이류,삼겹살구이,100g,467,22.56,41.69,0.35,0,0.7,576,39.72
장어구이_소금,구이류,장어구이,100ml,137,9.94,10.37,0.23,0,0,196,122.84
조개구이_키조개,구이류,조개구이,100g,130,17.43,2.07,10.44,3.6,3.9,454,25.29
비빔냉면,면 및 만두류,비빔냉면,100ml,90,3.8,1.66,16.81,1.54,1.4,208,16.92
수제비_감자,면 및 만두류,수제비,100ml,88,2.9,0.27,17.65,0.48,1.2,96,5.4
황태구이,구이류,황태구이,100g,219,23.9,7.7,13.45,7.1,1.5,568,105.79
훈제오리,구이류,훈제오리,100g,319,17.22,25.63,4.83,0.11,0.5,488,68.4
갓김치,김치류,갓김치,100g,37,3.26,0.4,7.07,2.46,3,720,0
깍두기,김치류,깍두기,100g,40,1.36,0.21,8.27,3.22,1.4,523,0
나박김치,김치류,나박김치,100g,10,0.46,0.38,1.15,0.34,0.8,377,0
국수_열무김치,면 및 만두류,국수,100ml,120,3.8,2.13,11.72,0.72,0.6,237,10.87
